player_name,Type,description,game_type,inning,inning_topbot,home_team,away_team,balls,strikes,stand,p_throws,plate_x,plate_z,sz_top,sz_bot,Ump_HP,Ump_Nation,Ump_Continent,actual,called,error,error_type,batter_team,pitcher_team,batter_continent,pitcher_continent,round,dist_x,dist_z,pmax_dist,border_dist,border_dist_inch,plate_x_abs,plate_z_norm,count_label,stand_L,p_throws_L,round_T,bat_Asia,bat_Europe,bat_LatAm,bat_Oceania,pit_Asia,pit_Europe,pit_LatAm,pit_Oceania
"Garcia, Maikel",ball-ball,ball,W,8,Top,USA,VEN,0,1,R,R,0.680774436,1.365006706,3.262,1.646,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,-0.027525564,0.280993294,0.280993294,0.280993294,3.371919528,0.680774436,-0.173881989,0-1,0,0,1,0,0,1,0,0,0,0,0
"Harper, Bryce",ball-ball,ball,W,6,Bot,USA,VEN,0,0,L,R,-1.458723925,1.716186246,3.265,1.648,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.750423925,-0.068186246,0.750423925,0.750423925,9.0050871,1.458723925,0.042168365,0-0,1,0,1,0,0,0,0,0,0,1,0
"Bregman, Alex",ball-ball,ball,W,7,Bot,USA,VEN,0,0,R,L,-1.540039744,2.773845655,3.126,1.578,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.831739744,-0.352154345,0.831739744,0.831739744,9.980876928,1.540039744,0.772510113,0-0,0,1,1,0,0,0,0,0,0,1,0
"Judge, Aaron",ball-ball,ball,W,1,Bot,USA,VEN,0,1,R,L,0.047661691,0.993028876,3.523,1.778,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,-0.660638309,0.784971124,0.784971124,0.784971124,9.419653488,0.047661691,-0.449840186,0-1,0,1,1,0,0,0,0,0,0,1,0
"Tovar, Ezequiel",ball-ball,ball,W,7,Top,USA,VEN,0,1,R,R,-1.252200656,2.740902265,3.219,1.625,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.543900656,-0.478097735,0.543900656,0.543900656,6.526807872,1.252200656,0.700064156,0-1,0,0,1,0,0,1,0,0,0,0,0
"Su?rez, Eugenio",ball-ball,ball,W,9,Top,USA,VEN,0,0,R,R,1.70947075,1.391120997,3.171,1.6,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,1.00117075,0.208879003,1.00117075,1.00117075,12.014049,1.70947075,-0.132959264,0-0,0,0,1,0,0,1,0,0,0,0,0
"Henderson, Gunnar",ball-ball,ball,W,9,Bot,USA,VEN,0,0,L,R,-0.82179944,4.422956025,3.329,1.68,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.11349944,1.093956025,1.093956025,1.093956025,13.1274723,0.82179944,1.663405716,0-0,1,0,1,0,0,0,0,0,0,1,0
"Su?rez, Eugenio",ball-ball,ball,W,2,Top,USA,VEN,0,0,R,R,-1.494142692,1.953528603,3.171,1.6,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.785842692,-0.353528603,0.785842692,0.785842692,9.430112304,1.494142692,0.22503412,0-0,0,0,1,0,0,1,0,0,0,0,0
"Arraez, Luis",ball-ball,ball,W,6,Top,USA,VEN,0,0,L,R,-1.268274202,2.19035609,3.12,1.58,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.559974202,-0.61035609,0.559974202,0.559974202,6.719690424,1.268274202,0.396335123,0-0,1,0,1,0,0,1,0,0,0,0,0
"Schwarber, Kyle",ball-ball,ball,W,7,Bot,USA,VEN,1,2,L,L,-0.907302144,2.803357759,3.181,1.605,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.199002144,-0.377642241,0.199002144,0.199002144,2.388025728,0.907302144,0.760379289,1岿 2老,1,1,1,0,0,0,0,0,0,1,0
