Type,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,inning_topbot,Ump_HP,Ump_Nation,Ump_Continent,Ump_Birth,Ump_year,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,spin_axis,delta_home_win_exp,delta_run_exp,delta_pitcher_run_exp,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
ball-ball,CU,3/17/2026,83.2,1.01,5.9,"Anthony, Roman",701350,593958,ball,13,Ball,W,L,L,USA,VEN,B,1,1,-0.51,-0.41,-1.834300259,1.380472377,2,2,Bot,Dan Bellino,USA,North America,1978,15,-5.40772735,-121.0278956,-2.803064368,-3.86186144,24.77232258,-35.8049321,3.326,1.679,82.9,2360,6.2,788094,54.31,13,3,0,0,0,0,0,0,0,0,278,0.002,0.058,-0.058,0,0,0.51,0.51,33,22,33,22,3.71,-0.51,-0.51
ball-ball,SI,3/17/2026,94.6,-0.78,6.02,"Gim?nez, Andr?s",665926,676477,ball,12,Ball,W,L,R,USA,VEN,B,0,2,-0.94,1.45,0.058459645,4.027596074,0,9,Top,Dan Bellino,USA,North America,1978,15,4.351054585,-137.6924156,-2.652921055,-12.9176367,31.71316893,-13.4159803,3.165,1.597,95.8,2042,7.1,788094,53.43,62,7,2,3,3,2,3,2,3,2,222,-0.003,0.021,-0.021,-1,1,0.129,0.871,30,27,30,28,1.11,0.94,-0.94
ball-ball,SI,3/17/2026,92.8,1.02,5.86,"Anthony, Roman",701350,593958,ball,12,Ball,W,L,L,USA,VEN,B,0,0,1.15,0.99,1.034158556,2.743292322,2,2,Bot,Dan Bellino,USA,North America,1978,15,-2.532569082,-134.9787963,-4.107877606,14.56348243,32.96236065,-19.41748225,3.326,1.679,92.1,2292,6.2,788094,54.34,13,1,0,0,0,0,0,0,0,0,153,0.001,0.045,-0.045,0,0,0.511,0.511,33,22,33,22,1.69,1.15,1.15
ball-ball,CH,3/17/2026,81.6,-3.53,5.53,"Abreu, Wilyer",677800,690997,ball,11,Ball,W,L,R,USA,VEN,B,0,1,-0.82,0.11,-0.486363224,3.304755345,2,2,Top,Dan Bellino,USA,North America,1978,15,8.243098878,-118.52439,1.553553348,-9.324352902,23.41154621,-31.65479604,3.117,1.573,80.4,832,5.6,788094,54.88,10,2,0,0,0,0,0,0,0,0,259,-0.002,0.036,-0.036,0,0,0.531,0.469,24,27,25,27,3.33,0.82,-0.82
ball-ball,CH,3/17/2026,87.3,1.29,5.81,"Bregman, Alex",608324,593958,ball,14,Ball,W,R,L,USA,VEN,B,0,1,1.32,0.48,0.917929216,1.699097518,1,2,Bot,Dan Bellino,USA,North America,1978,15,-3.626265021,-126.9573468,-4.430353593,14.99688398,28.18525932,-26.27555938,3.126,1.578,86.7,1958,6.1,788094,54.36,12,2,0,0,0,0,0,0,0,0,131,0.002,0.044,-0.044,0,0,0.525,0.525,33,32,33,32,2.54,1.32,-1.32
ball-ball,SI,3/17/2026,95.8,2.78,5.09,"Anthony, Roman",701350,672582,ball,14,Roman Anthony walks.,W,L,L,USA,VEN,B,3,1,1.51,0.34,0.965262099,2.165719371,2,7,Bot,Dan Bellino,USA,North America,1978,15,-8.10950717,-139.3528361,-2.65550292,21.54198874,31.72266659,-27.36092412,3.326,1.679,94.7,2124,5.7,788094,54.79,50,5,0,2,0,2,2,0,0,2,128,0.013,0.194,-0.194,-2,-2,0.163,0.163,26,22,27,22,2.15,1.51,1.51
ball-ball,SL,3/17/2026,86.3,-2.27,5.37,"Judge, Aaron",592450,676130,ball,14,Ball,W,R,R,USA,VEN,B,2,1,0.16,0.05,0.698783405,1.262282146,2,6,Bot,Dan Bellino,USA,North America,1978,15,6.69423889,-125.5771509,-3.437441436,0.329817898,25.68407062,-31.11230126,3.523,1.778,87,2601,6.8,788094,53.74,43,4,0,2,0,2,2,0,0,2,36,0.011,0.098,-0.098,-2,-2,0.223,0.223,28,34,28,34,3.01,-0.16,-0.16
ball-ball,SI,3/17/2026,96.2,2.77,5.02,"Anthony, Roman",701350,672582,ball,13,Ball,W,L,L,USA,VEN,B,2,1,1.43,0.55,-1.611201784,2.443376541,2,7,Bot,Dan Bellino,USA,North America,1978,15,-14.52933531,-139.3280431,-2.228283561,21.95106894,31.87562995,-24.74425855,3.326,1.679,94.7,2096,5.7,788094,54.79,50,4,0,2,0,2,2,0,0,2,128,0.007,0.11,-0.11,-2,-2,0.156,0.156,26,22,27,22,1.94,1.43,1.43
ball-ball,SL,3/17/2026,86.4,2.49,5.07,"Anthony, Roman",701350,672582,ball,13,Ball,W,L,L,USA,VEN,B,1,1,-0.57,-0.49,-0.897507298,2.20239549,2,7,Bot,Dan Bellino,USA,North America,1978,15,-6.691393186,-125.7131127,0.57971145,-4.710307199,25.80186066,-37.7228937,3.326,1.679,85.3,2626,5.6,788094,54.89,50,3,0,2,0,2,2,0,0,2,305,0.003,0.058,-0.058,-2,-2,0.153,0.153,26,22,27,22,3.55,-0.57,-0.57
ball-ball,SL,3/17/2026,87.4,-2.53,5.34,"Judge, Aaron",592450,676130,ball,13,Ball,W,R,R,USA,VEN,B,1,0,0.18,-0.03,-0.102932449,1.286219773,2,6,Bot,Dan Bellino,USA,North America,1978,15,5.419633737,-127.1625645,-3.339027677,0.873422709,25.73482238,-32.01457931,3.523,1.778,87.9,2694,6.6,788094,53.92,43,2,0,2,0,2,2,0,0,2,43,0.007,0.064,-0.064,-2,-2,0.223,0.223,28,34,28,34,3.01,-0.18,-0.18
ball-ball,CH,3/17/2026,92.9,-2.25,5.32,"Harper, Bryce",547180,600921,ball,14,Ball,W,L,R,USA,VEN,B,0,0,-1.17,0.76,0.304147761,1.127717178,2,8,Bot,Dan Bellino,USA,North America,1978,15,9.175947675,-134.921416,-6.472731567,-16.30900708,28.10773599,-21.58818219,3.265,1.648,94,1649,6.9,788094,53.58,58,1,0,2,0,2,2,0,0,2,227,0.004,0.041,-0.041,-2,-2,0.119,0.119,33,33,33,34,1.88,1.17,-1.17
ball-ball,FF,3/17/2026,99.5,-2.15,5.34,"Witt Jr., Bobby",677951,600921,ball,14,Bobby Witt Jr. walks.,W,R,R,USA,VEN,B,3,0,-0.78,1.39,0.696614003,1.251598712,2,8,Bot,Dan Bellino,USA,North America,1978,15,9.6956104,-144.36714,-8.974418256,-13.24270174,34.59159931,-10.68819824,3.238,1.634,100.5,2296,7.1,788094,53.42,57,4,0,2,0,2,2,0,0,2,213,0.01,0.118,-0.118,-2,-2,0.109,0.109,33,26,33,26,0.93,0.78,0.78
ball-ball,SL,3/17/2026,87.4,-2.35,5.36,"Judge, Aaron",592450,676130,ball,13,Ball,W,R,R,USA,VEN,B,0,0,0.16,0.15,-0.029885587,0.661049147,2,6,Bot,Dan Bellino,USA,North America,1978,15,5.17629871,-127.216448,-5.23533098,0.725267237,25.67899689,-29.72901032,3.523,1.778,87.5,2750,6.3,788094,54.2,43,1,0,2,0,2,2,0,0,2,95,0.003,0.041,-0.041,-2,-2,0.22,0.22,28,34,28,34,2.83,-0.16,-0.16
ball-ball,FF,3/17/2026,92.6,1.02,5.89,"Schwarber, Kyle",656941,593958,ball,13,Ball,W,L,L,USA,VEN,B,1,1,0.41,1.47,-1.652793204,2.282203496,0,2,Bot,Dan Bellino,USA,North America,1978,15,-7.584031457,-134.5327848,-6.357801754,6.648731312,30.62364551,-13.14173922,3.181,1.605,91.8,2313,6,788094,54.51,11,3,0,0,0,0,0,0,0,0,159,0.005,0.079,-0.079,0,0,0.55,0.55,33,33,33,33,1.21,0.41,0.41
ball-ball,SI,3/17/2026,96.1,2.82,5.05,"Anthony, Roman",701350,672582,ball,12,Ball,W,L,L,USA,VEN,B,0,1,1.54,0.31,1.608538964,3.110606194,2,7,Bot,Dan Bellino,USA,North America,1978,15,-6.602201679,-139.7560246,-0.032518701,21.71208452,35.47659874,-28.38653303,3.326,1.679,94.1,1948,5.4,788094,55.08,50,2,0,2,0,2,2,0,0,2,127,0.001,0.039,-0.039,-2,-2,0.152,0.152,26,22,27,22,2.19,1.54,1.54
ball-ball,SI,3/17/2026,94.8,-1.11,5.97,"Su?rez, Eugenio",553993,676477,ball,11,Ball,W,R,R,USA,VEN,B,2,2,-0.95,1.45,-0.702604694,4.2970728,0,9,Top,Dan Bellino,USA,North America,1978,15,3.259283288,-138.0360463,-1.836703444,-12.89175088,32.79917249,-13.51731835,3.171,1.6,95.9,2178,7,788094,53.47,61,6,2,2,2,2,2,2,2,2,226,-0.015,0.12,-0.12,0,0,0.344,0.656,30,34,30,35,1.1,0.95,0.95
